id,liability date,liability value,currency
407,2010-04-07,5053,eur
408,2008-09-19,2193,chf
409,2011-04-13,7278,usd
410,2007-07-17,5304,eur
411,2010-11-26,6525,gbp
412,2012-02-03,3926,eur
413,2007-09-07,9111,eur
414,2002-09-11,8156,eur
415,2005-08-02,6459,usd
416,2007-12-11,3405,usd
417,2002-07-03,7168,gbp
418,2011-03-08,3275,usd
419,2004-04-08,5692,usd
420,2009-05-19,1618,usd
421,2006-11-09,7469,chf
422,2008-07-28,1680,eur
423,2009-11-19,5074,usd
424,2010-01-04,7157,eur
425,2004-07-29,8448,eur
426,2005-06-14,2145,usd
427,2006-02-02,8993,gbp
428,2008-12-08,5643,usd
429,2002-06-04,5873,chf
430,2004-04-28,3691,usd
431,2005-05-30,9227,chf
432,2004-10-19,4398,usd
433,2002-12-09,3358,eur
434,2009-05-29,2892,eur
435,2005-05-31,3638,chf
436,2006-07-19,3532,chf
437,2002-04-29,4664,usd
438,2012-05-11,1419,chf
439,2004-08-18,2126,usd
440,2010-06-23,6455,eur
441,2011-12-16,1533,chf
442,2004-06-21,5871,chf
443,2010-08-03,5813,usd
444,2009-08-31,7902,chf
445,2008-09-22,5292,usd
446,2002-10-02,3007,usd
447,2011-02-10,2320,eur
448,2005-04-15,1932,gbp
449,2005-10-14,5791,eur
450,2002-07-17,5219,gbp
451,2009-03-03,5774,usd
452,2007-03-23,6379,chf
453,2009-07-23,7985,gbp
454,2002-04-19,1340,gbp
455,2004-11-25,7520,gbp
456,2010-10-05,6696,gbp
457,2002-05-08,9124,usd
458,2012-07-24,9022,chf
459,2003-02-24,5333,usd
460,2011-01-19,2743,chf
461,2010-09-30,8557,usd
462,2007-09-24,8197,chf
463,2003-02-18,8930,usd
464,2009-03-04,2735,chf
465,2007-08-01,1722,eur
466,2009-08-07,9740,gbp
467,2008-01-22,7805,gbp
468,2011-09-15,9400,gbp
469,2011-01-28,5804,eur
470,2009-01-12,4275,gbp
471,2003-03-14,3927,usd
472,2002-07-02,8699,gbp
473,2009-02-02,9119,usd
474,2008-11-10,8028,usd
475,2003-09-02,2231,eur
476,2009-09-22,1549,usd
477,2011-08-25,6930,gbp
478,2003-07-28,2293,usd
479,2011-09-16,3509,usd
480,2002-09-16,6926,eur
481,2009-07-07,2395,eur
482,2008-10-14,2979,chf
483,2008-10-03,3217,gbp
484,2009-06-18,3625,usd
485,2002-09-17,4234,usd
486,2009-02-20,3359,eur
487,2006-09-06,2864,usd
488,2002-08-13,1520,chf
489,2003-02-25,6663,usd
490,2010-04-12,6360,eur
491,2006-08-02,2044,eur
492,2012-08-29,6058,usd
493,2004-03-02,2671,gbp
494,2010-12-03,1628,eur
495,2010-07-20,3601,eur
496,2004-03-26,4106,usd
497,2003-07-31,6770,eur
498,2004-08-12,5946,gbp
499,2008-08-05,8023,gbp
500,2011-07-14,5386,chf
501,2007-02-01,7095,chf
502,2007-03-06,1336,usd
503,2010-04-01,1817,gbp
504,2006-11-30,4097,chf
505,2004-08-13,6641,chf
506,2010-02-17,4041,usd
507,2006-06-05,4642,usd
508,2012-07-05,3191,gbp
509,2012-05-23,9902,eur
510,2005-02-24,8521,usd
511,2008-11-25,3203,gbp
512,2012-05-15,4480,chf
513,2008-04-10,4142,gbp
514,2004-12-01,4378,usd
515,2006-03-07,1168,chf
516,2005-01-25,6697,eur
517,2008-06-18,5654,chf
518,2008-07-23,9486,gbp
519,2012-01-03,2167,usd
520,2010-03-24,7714,usd
521,2005-04-12,3833,chf
522,2008-10-14,2866,eur
523,2011-03-16,4495,chf
524,2011-01-13,3136,gbp
525,2011-09-02,9727,gbp
526,2012-08-06,4663,eur
527,2003-08-13,4089,eur
528,2010-04-09,6998,eur
529,2009-04-15,4789,gbp
530,2003-09-09,1365,gbp
531,2009-04-15,4576,usd
532,2006-12-19,7181,eur
533,2009-09-15,3989,gbp
534,2004-11-02,6694,eur
535,2006-10-12,4688,chf
536,2006-06-23,3769,usd
537,2005-09-02,6269,eur
538,2005-10-27,4541,gbp
539,2007-11-23,2488,eur
540,2002-12-13,9539,usd
541,2002-03-05,7789,usd
542,2007-03-23,2462,usd
543,2010-07-20,2443,gbp
544,2006-12-13,4287,usd
545,2008-10-08,4964,gbp
546,2008-11-27,7021,gbp
547,2008-09-05,5311,chf
548,2002-05-14,9458,eur
549,2008-01-30,1567,usd
550,2010-04-29,6971,eur
551,2011-07-18,1239,gbp
552,2006-03-09,3371,gbp
553,2012-05-15,8736,chf
554,2006-05-02,4513,eur
555,2011-12-21,8437,gbp
556,2012-05-30,8037,chf
557,2005-06-10,8844,eur
558,2011-08-03,3150,chf
559,2003-03-27,1186,eur
560,2007-10-04,9547,chf
561,2007-03-21,2773,gbp
562,2006-06-05,9691,eur
563,2006-10-09,3460,chf
564,2012-08-22,2033,usd
565,2008-09-05,4967,chf
566,2004-11-22,7631,usd
567,2008-07-04,2151,eur
568,2003-01-28,5872,eur
569,2008-11-27,4569,chf
570,2003-03-21,7519,chf
571,2012-05-18,2784,gbp
572,2007-07-06,1290,eur
573,2005-06-03,6897,chf
574,2002-11-19,5701,chf
575,2010-07-05,2745,gbp
576,2006-11-10,8496,gbp
577,2003-11-06,3037,gbp
578,2012-04-04,2182,usd
579,2009-04-02,5690,usd
580,2009-07-10,6315,gbp
581,2002-05-31,8247,chf
582,2002-12-18,5661,eur
583,2005-08-08,4704,eur
584,2003-10-23,8921,eur
585,2011-03-01,3367,usd
586,2004-08-16,8049,gbp
587,2005-04-27,1181,eur
588,2003-08-01,2950,chf
589,2002-03-28,9155,usd
590,2009-12-10,4997,chf
591,2003-08-08,9391,gbp
592,2003-09-05,4354,gbp
593,2011-07-22,7641,usd
594,2011-10-21,6245,eur
595,2012-07-18,4404,gbp
596,2009-12-21,9666,gbp
597,2008-04-09,2826,gbp
598,2007-10-10,8240,chf
599,2011-06-01,2763,eur
600,2004-01-16,7747,chf
601,2008-05-16,1190,eur
602,2012-03-16,2656,usd
603,2002-01-07,7104,usd
604,2005-08-30,5346,gbp
605,2010-04-13,7574,usd
606,2005-09-06,1493,eur
607,2003-10-06,7611,usd
608,2002-11-22,4429,chf
609,2007-07-17,4569,gbp
610,2002-11-07,5536,eur
611,2012-09-17,5869,gbp
612,2007-03-23,6604,chf
613,2004-04-22,6947,eur
614,2002-01-04,4393,usd
615,2012-03-07,3230,chf
616,2003-10-13,2858,gbp
617,2003-12-05,6772,chf
618,2006-08-21,3554,eur
619,2006-07-31,3239,eur
620,2003-10-08,6109,usd
621,2004-06-25,6225,usd
622,2004-01-20,7012,chf
623,2006-01-12,8860,gbp
624,2010-11-02,4076,eur
625,2004-12-24,9132,eur
626,2005-04-21,5054,gbp
627,2008-01-09,6528,chf
628,2002-10-24,4456,eur
629,2009-03-19,9980,gbp
630,2007-10-30,1326,eur
631,2011-09-30,9909,usd
632,2004-07-08,3714,gbp
633,2004-08-25,9017,chf
634,2005-03-21,4505,eur
635,2004-09-24,4008,gbp
636,2010-12-24,4389,eur
637,2009-07-03,8554,gbp
638,2005-02-28,8567,eur
639,2011-11-02,7208,gbp
640,2006-03-27,9641,gbp
641,2010-03-26,9832,usd
642,2009-09-25,5035,usd
643,2005-11-21,7832,eur
644,2008-04-09,4379,chf
645,2002-04-24,6917,usd
646,2004-11-22,5355,usd
647,2012-01-11,8327,gbp
648,2002-10-14,7705,eur
649,2011-12-22,8639,eur
650,2012-05-11,6046,chf
651,2005-05-04,7216,eur
652,2008-11-10,4853,usd
653,2004-05-20,3113,usd
654,2003-07-07,2892,eur
655,2009-12-15,6098,gbp
656,2006-09-08,5125,gbp
657,2009-09-25,4736,chf
658,2011-05-19,8045,usd
659,2008-02-22,6500,gbp
660,2011-03-02,2276,eur
661,2004-04-05,4040,eur
662,2006-07-28,8487,eur
663,2011-02-04,5462,eur
664,2010-06-18,6401,gbp
665,2003-01-09,3019,chf
666,2011-07-19,2311,usd
667,2004-06-07,3770,usd
668,2009-12-29,7613,eur
669,2011-06-29,9258,chf
670,2011-08-09,7065,gbp
671,2006-08-25,1159,usd
672,2002-11-22,9908,chf
673,2011-09-30,7301,chf
674,2008-09-19,6253,usd
675,2006-11-22,8508,chf
676,2006-04-18,4755,gbp
677,2009-06-03,3029,usd
678,2003-03-07,2293,eur
679,2008-03-18,6370,eur
680,2010-04-20,9102,eur
681,2008-02-04,1567,usd
682,2012-01-12,1528,usd
683,2010-01-26,9130,gbp
684,2002-06-20,1064,eur
685,2006-08-01,8120,eur
686,2004-02-09,3686,usd
687,2006-07-10,7680,eur
688,2010-03-08,7532,usd
689,2007-03-15,1498,gbp
690,2005-05-12,7535,gbp
691,2005-11-17,5812,eur
692,2007-10-25,3161,usd
693,2002-06-17,9422,gbp
694,2002-01-24,1325,chf
695,2010-02-18,1111,eur
696,2003-11-14,7572,chf
697,2002-03-07,3956,eur
698,2009-02-05,7636,gbp
699,2007-09-04,5807,chf
700,2004-05-18,3901,gbp
701,2006-06-26,4664,eur
702,2007-04-27,3993,gbp
703,2009-11-04,8002,gbp
704,2012-09-26,6872,eur
705,2005-12-01,9851,gbp
706,2003-12-17,6005,gbp
707,2010-04-20,3148,chf
708,2006-09-26,8504,eur
709,2010-10-05,4305,usd
710,2007-04-05,4067,gbp
711,2012-12-10,5557,eur
712,2007-02-14,3404,gbp
713,2010-08-10,1769,eur
714,2010-11-18,4082,gbp
715,2007-07-04,5974,chf
716,2007-01-08,4629,usd
717,2005-02-24,4882,eur
718,2008-06-18,1111,eur
719,2011-04-05,7729,gbp
720,2010-12-08,2254,chf
721,2008-11-17,8787,gbp
722,2009-11-19,4694,eur
723,2002-10-23,6946,chf
724,2010-04-15,4571,eur
725,2005-09-20,3340,chf
726,2007-02-22,6442,usd
727,2003-09-08,3881,usd
728,2007-11-22,6004,gbp
729,2004-08-10,5565,eur
730,2008-01-14,7632,usd
731,2006-08-10,9874,usd
732,2005-07-21,6177,usd
733,2008-01-30,7900,chf
734,2010-11-15,5460,gbp
735,2004-07-19,9119,eur
736,2008-01-22,2328,chf
737,2011-03-03,3115,eur
738,2004-12-21,2463,usd
739,2008-02-05,8876,chf
740,2009-10-20,6808,eur
741,2010-03-04,1497,usd
742,2009-01-29,1463,gbp
743,2008-10-23,5389,eur
744,2009-08-25,9508,chf
745,2012-12-03,8995,eur
746,2005-06-09,2449,chf
747,2009-08-11,4812,eur
748,2003-12-08,9184,usd
749,2011-04-15,4583,usd
750,2004-03-25,3038,usd
751,2011-12-23,6782,gbp
752,2005-06-22,1998,chf
753,2006-04-25,8590,gbp
754,2009-04-23,2553,usd
755,2007-12-06,1152,eur
756,2009-12-16,3011,gbp
757,2004-06-15,8394,eur
758,2004-09-30,8734,chf
759,2006-08-31,2722,usd
760,2009-05-08,9415,chf
761,2005-09-14,1045,gbp
762,2008-07-07,7984,eur
763,2004-03-29,9373,chf
764,2012-08-30,9651,gbp
765,2007-02-09,5949,usd
766,2011-02-18,5625,eur
767,2006-09-28,5033,gbp
768,2007-08-30,6971,chf
769,2002-05-16,2090,usd
770,2012-12-20,2627,usd
771,2005-07-18,3801,usd
772,2004-05-27,5226,eur
773,2007-01-26,4745,usd
774,2009-03-02,4063,usd
775,2012-07-11,4637,gbp
776,2010-03-08,6244,eur
777,2003-08-06,3838,gbp
778,2011-01-12,7422,eur
779,2009-07-10,7007,usd
780,2006-02-20,2251,gbp
781,2004-07-26,4715,gbp
782,2009-06-08,3492,eur
783,2006-08-01,3778,gbp
784,2002-11-22,6148,eur
785,2004-03-25,5632,eur
786,2003-08-12,8429,usd
787,2011-06-10,6835,usd
788,2008-08-25,8525,eur
789,2011-11-21,9162,gbp
790,2005-11-25,4661,usd
791,2009-01-30,8268,eur
792,2005-04-13,8909,chf
793,2004-10-29,3108,chf
794,2011-01-26,6606,eur
795,2005-02-16,8452,eur
796,2012-03-14,6294,eur
797,2005-05-09,9761,eur
798,2010-02-25,6384,eur
799,2006-06-16,6730,eur
800,2012-09-21,4564,usd
801,2011-09-06,9821,chf
802,2006-02-22,7724,chf
803,2005-02-28,1407,gbp
804,2004-05-21,6523,eur
805,2011-01-21,2053,chf
806,2007-04-10,3618,eur
807,2010-11-17,8975,gbp
808,2009-01-14,6474,gbp
809,2007-10-30,1366,eur
810,2004-05-04,4800,eur
811,2007-04-13,9046,eur
812,2003-03-07,1901,usd
813,2006-08-21,2098,eur
814,2012-09-05,2961,chf
815,2011-05-10,1003,gbp
816,2008-01-18,5526,eur
817,2006-04-25,2417,gbp
818,2012-02-03,4242,gbp
819,2008-12-31,1007,usd
820,2004-06-18,4810,eur
821,2006-02-28,2093,usd
822,2011-08-08,1372,chf
823,2011-06-28,4684,gbp
824,2008-03-31,1053,usd
825,2002-02-19,9220,usd
826,2005-05-30,4261,usd
827,2010-04-16,7753,gbp
828,2005-10-28,2983,chf
829,2005-05-12,7318,usd
830,2006-11-24,6747,usd
831,2007-02-28,5173,usd
832,2011-03-24,3624,eur
833,2004-11-12,9992,eur
834,2010-10-07,2717,chf
835,2003-08-04,8670,gbp
836,2002-06-26,9930,eur
837,2002-06-14,3277,chf
838,2002-11-28,5643,usd
839,2009-08-10,5503,gbp
840,2004-02-04,6657,chf
841,2012-12-06,1337,gbp
842,2012-08-09,9914,eur
843,2005-11-07,6166,usd
844,2004-05-20,5205,eur
845,2008-12-15,7400,eur
846,2003-04-04,6098,eur
847,2006-07-07,8207,gbp
848,2012-03-13,9532,eur
849,2011-03-03,9391,chf
850,2007-11-02,4939,chf
851,2010-10-05,8586,gbp
852,2006-04-21,9814,eur
853,2007-10-02,5623,eur
854,2005-09-05,5568,usd
855,2004-01-13,5837,eur
856,2012-10-26,1833,gbp
857,2003-06-23,2723,usd
858,2012-06-11,1503,eur
859,2009-01-23,2915,eur
860,2011-10-18,1475,chf
861,2011-05-06,3154,gbp
862,2006-10-23,2312,chf
863,2007-02-02,1579,usd
864,2002-09-26,4427,gbp
865,2004-06-28,9135,eur
866,2005-10-26,1014,usd
867,2003-07-09,4619,eur
868,2006-09-04,6644,eur
869,2005-01-31,3999,gbp
870,2004-07-01,5160,gbp
871,2006-09-01,7534,gbp
872,2011-12-16,8886,chf
873,2011-04-11,4299,usd
874,2011-12-12,2172,gbp
875,2007-04-18,3381,eur
876,2007-04-17,6909,chf
877,2009-04-29,4208,eur
878,2012-12-10,5270,eur
879,2012-11-14,3632,usd
880,2004-10-11,8475,chf
881,2005-04-22,7865,eur
882,2006-12-27,7411,eur
883,2009-06-03,7320,eur
884,2012-06-27,1787,chf
885,2012-04-20,9330,gbp
886,2005-01-12,2801,usd
887,2006-11-30,4209,eur
888,2003-05-21,1074,usd
889,2011-08-12,8257,gbp
890,2006-08-10,5444,chf
891,2003-01-29,3257,eur
892,2010-09-17,4416,usd
893,2009-11-18,9175,gbp
894,2003-07-02,5631,eur
895,2010-10-26,4858,eur
896,2002-02-12,9986,chf
897,2003-06-24,8691,eur
898,2008-11-19,2005,chf
899,2009-10-05,8906,usd
900,2006-02-23,7429,eur
901,2004-09-20,2813,eur
902,2008-05-08,2958,usd
903,2010-04-26,8996,chf
904,2002-06-20,5935,chf
905,2005-06-14,9032,usd
906,2004-01-13,3792,eur
907,2011-04-07,3254,chf
908,2012-04-13,5935,chf
909,2006-06-28,1990,gbp
910,2004-10-08,8818,usd
911,2007-06-29,6287,chf
912,2002-11-13,9530,chf
913,2008-04-17,3694,usd
914,2002-07-03,6246,usd
915,2011-06-17,1204,usd
916,2006-12-04,2265,gbp
