id,liability date,liability value,currency,payment date,payment value,original exchange rate,payment exchange rate,today exchange rate,original value in pln,paid value in foreign,remaining liability in foreign,remaining liability in pln
25,2004-08-20,7556,usd,2023-01-10,8789,3.6163,4.372,4.0495,27324.7628,2010.2927721866424,5545.707227813357,22457.341419030192
26,2009-07-21,6671,chf,2013-12-10,4288,2.8102,3.4181,4.5849,18746.8442,1254.498112986747,5416.5018870132535,24834.11950176707
27,2002-11-21,8982,chf,2023-10-17,4549,2.6901,4.6676,4.5849,24162.4782,974.590796126489,8007.409203873511,36713.17045883966
28,2002-06-20,8283,eur,2013-11-14,4832,3.8652,4.189,4.3463,32015.4516,1153.497254714729,7129.502745285271,30986.957781833375
29,2005-03-07,1094,chf,2014-09-08,6216,2.5086,3.4677,4.5849,2744.4084,1792.5426074919976,-698.5426074919976,-3202.74800109006
30,2003-07-21,5838,gbp,2015-09-10,3491,6.2973,5.7922,5.084,36763.6374,602.7070888436173,5235.292911156383,26616.229160319046
31,2003-05-06,6136,gbp,2015-10-28,9977,6.0534,5.9438,5.084,37143.6624,1678.5558060500016,4457.444193949998,22661.64628204179
32,2003-07-24,4952,usd,2013-11-22,7975,3.8474,3.1077,4.0495,19052.3248,2566.206519290794,2385.793480709206,9661.27070013193
33,2004-07-29,5870,usd,2014-10-28,3236,3.6663,3.3295,4.0495,21521.181,971.9177053611654,4898.082294638834,19834.78425213996
34,2012-03-15,8380,gbp,2015-04-24,9021,4.9697,5.5876,5.084,41646.085999999996,1614.4677500178968,6765.532249982103,34395.96595890901
35,2010-07-12,8569,usd,2020-03-05,7592,3.2511,3.8479,4.0495,27858.675900000002,1973.0242469918655,6595.975753008134,26710.40381180644
36,2011-02-24,9506,usd,2017-08-31,7524,2.8941,3.5822,4.0495,27511.314599999998,2100.385238121825,7405.614761878175,29989.03697822567
37,2004-12-09,5436,chf,2020-07-08,5133,2.7192,4.2121,4.5849,14781.571199999998,1218.6320362764416,4217.367963723558,19336.210376876144
38,2004-01-08,7197,eur,2022-07-13,8911,4.6634,4.8399,4.3463,33562.4898,1841.1537428459264,5355.846257154073,23278.11458746875
39,2002-04-26,1380,gbp,2022-07-19,7298,5.8507,5.6009,5.084,8073.965999999999,1303.0048742166437,76.99512578335634,391.44321948258363
40,2004-12-20,8803,gbp,2013-04-25,2642,6.0166,4.9041,5.084,52964.1298,538.732896963765,8264.267103036234,42015.533951836216
41,2005-03-10,9140,gbp,2018-05-09,5215,5.696,4.8894,5.084,52061.439999999995,1066.5930380005727,8073.406961999427,41045.20099480508
42,2007-05-24,8113,chf,2021-01-29,5992,2.2996,4.2115,4.5849,18656.6548,1422.7709842099014,6690.229015790099,30674.031014496024
43,2011-03-01,5295,chf,2017-08-23,5962,3.0739,3.7459,4.5849,16276.300500000001,1591.6068234603167,3703.3931765396833,16979.687375116795
44,2008-04-08,6750,usd,2016-04-27,6581,2.2018,3.8793,4.0495,14862.15,1696.4400793957673,5053.5599206042325,20464.39089848684
45,2003-02-11,8607,gbp,2015-10-14,6728,6.2662,5.7065,5.084,53933.1834,1179.0063962148427,7427.993603785158,37763.91948164374
46,2002-08-14,8971,usd,2023-03-16,6948,4.1608,4.4248,4.0495,37326.5368,1570.2404628457782,7400.759537154222,29969.375745706024
47,2009-01-06,3470,usd,2021-11-25,1996,3.0214,4.16,4.0495,10484.258,479.80769230769226,2990.1923076923076,12108.78375
48,2008-09-02,6092,gbp,2017-12-12,6584,4.1299,4.7652,5.084,25159.3508,1381.683874758667,4710.316125241333,23947.247180726936
49,2009-11-13,6555,gbp,2020-08-14,1971,4.6121,4.8692,5.084,30232.3155,404.78928776801115,6150.2107122319885,31267.671260987427
50,2002-03-14,2240,eur,2021-11-17,3498,3.6532,4.6614,4.3463,8183.168,750.4183292573045,1489.5816707426955,6474.168815548977
51,2008-05-23,2592,usd,2018-12-31,9300,2.1675,3.7597,4.0495,5618.16,2473.6016171503047,118.39838284969528,479.45425134984106
52,2006-02-10,5844,usd,2016-08-22,9927,3.1638,3.809,4.0495,18489.2472,2606.1958519296404,3237.8041480703596,13111.487897610921
53,2007-07-09,1204,chf,2022-08-29,1929,2.2625,4.9342,4.5849,2724.05,390.94483401564594,813.0551659843541,3727.776630521665
54,2006-11-06,7619,usd,2020-05-29,9151,3.0135,4.0031,4.0495,22959.8565,2285.9783667657566,5333.021633234243,21596.07110378207
55,2008-12-29,4672,usd,2022-04-22,9218,2.9293,4.2935,4.0495,13685.6896,2146.9663444742055,2525.0336555257945,10225.123788051706
56,2008-04-29,8320,usd,2019-07-19,3888,2.2115,3.7855,4.0495,18399.68,1027.0770043587372,7292.922995641263,29532.691670849294
57,2010-04-16,5270,eur,2019-02-26,1642,3.8725,4.3338,4.3463,20408.075,378.8822742166228,4891.117725783377,21258.26497157229
58,2003-02-28,5611,usd,2017-03-21,3522,3.9135,3.9502,4.0495,21958.6485,891.6004252949217,4719.3995747050785,19111.208577768215
59,2003-08-25,5532,gbp,2013-07-11,5455,6.3082,5.0121,5.084,34896.962400000004,1088.3661539075438,4443.633846092456,22591.434473534046
60,2009-04-21,9203,eur,2021-01-29,9725,4.4289,4.5385,4.3463,40759.166699999994,2142.778451030076,7060.221548969924,30685.84091828798
61,2005-06-01,2022,chf,2014-03-13,1977,2.7068,3.4787,4.5849,5473.1496,568.3157501365453,1453.6842498634546,6664.996917198953
62,2002-02-18,5145,gbp,2023-02-23,1691,5.9476,5.3984,5.084,30600.402000000002,313.2409602845288,4831.759039715471,24564.662957913453
63,2005-05-27,8740,usd,2020-08-25,8074,3.3362,3.7144,4.0495,29158.388,2173.7023476200734,6566.297652379926,26590.22234331251
64,2010-06-14,1799,eur,2016-11-24,5073,4.0838,4.4261,4.3463,7346.7562,1146.1557578906938,652.8442421093062,2837.4569294796775
65,2009-05-21,1576,usd,2014-07-02,5489,3.2049,3.0387,4.0495,5050.9223999999995,1806.3645637937277,-230.3645637937277,-932.8613010827004
66,2002-06-20,6931,gbp,2014-11-13,1651,6.0107,5.3364,5.084,41660.1617,309.3846038527846,6621.6153961472155,33664.29267401244
67,2009-01-22,1622,eur,2023-02-09,7126,4.3094,4.7363,4.3463,6989.8468,1504.5499651626797,117.45003483732035,510.47308641344546
68,2012-03-21,9675,chf,2018-05-09,6057,3.4306,3.5988,4.5849,33191.055,1683.0610203401134,7991.938979659886,36642.24102784261
69,2002-08-30,6003,eur,2020-04-07,2161,4.0809,4.5342,4.3463,24497.642699999997,476.60006175290016,5526.3999382471,24019.392051603372
70,2002-07-29,8117,chf,2023-03-09,8728,2.7927,4.7319,4.5849,22668.3459,1844.5022084152242,6272.497791584776,28758.77512463704
71,2007-02-08,7724,chf,2013-02-01,3254,2.389,3.3991,4.5849,18452.636,957.3122297078639,6766.687770292136,31024.586758012414
72,2007-05-28,7462,gbp,2016-04-29,4513,5.6073,5.6496,5.084,41841.672600000005,798.8176154064004,6663.1823845936,33875.61924327386
73,2009-10-20,9825,usd,2020-11-02,2993,2.7916,3.9557,4.0495,27427.469999999998,756.6296736355133,9068.370326364487,36722.365636612994
74,2006-08-09,6846,gbp,2021-02-04,8129,5.7366,5.0955,5.084,39272.7636,1595.3292120498477,5250.670787950152,26694.41028593857
75,2007-01-26,6551,chf,2015-10-23,5567,2.4253,3.9296,4.5849,15888.140300000001,1416.6836319218241,5134.316368078176,23540.32711600163
76,2011-05-27,5144,usd,2022-08-01,2203,2.8003,4.629,4.0495,14404.7432,475.91272413048176,4668.087275869519,18903.419423633615
77,2004-09-16,7141,usd,2023-06-01,6591,3.5761,4.2399,4.0495,25536.930099999998,1554.5177952310198,5586.48220476898,22622.459688211988
78,2004-03-17,5961,chf,2023-09-04,9965,3.016,4.6767,4.5849,17978.376,2130.775974511942,3830.224025488058,17561.1941344602
79,2009-06-25,3340,eur,2015-04-02,2331,4.5166,4.064,4.3463,15085.444000000001,573.5728346456693,2766.4271653543306,12023.722388779528
80,2007-09-06,2600,usd,2021-01-28,5194,2.7963,3.7566,4.0495,7270.38,1382.6332321780333,1217.3667678219667,4929.7267262950545
81,2011-02-17,1876,gbp,2021-05-20,5917,4.6443,5.232,5.084,8712.7068,1130.9250764525993,745.0749235474007,3787.9609113149845
82,2002-10-21,7181,eur,2019-11-21,4915,4.0396,4.2948,4.3463,29008.3676,1144.4071900903416,6036.592809909658,26236.843329710347
83,2005-11-02,1344,usd,2015-06-26,5272,3.2978,3.7275,4.0495,4432.2432,1414.352783366868,-70.35278336686792,-284.8935962441317
84,2005-10-03,6412,chf,2023-01-04,3217,2.5188,4.7454,4.5849,16150.545600000001,677.9196695747461,5734.080330425254,26290.184906966748
85,2010-01-29,8847,gbp,2019-02-18,4039,4.6971,4.9437,5.084,41555.2437,816.9994133948258,8030.000586605174,40824.5229823007
86,2010-12-22,5795,usd,2023-02-17,9493,3.0322,4.4888,4.0495,17571.599,2114.8191053288183,3680.1808946711817,14902.892532970951
87,2006-05-26,8631,usd,2017-03-10,6015,3.0642,4.0761,4.0495,26447.1102,1475.6752778391108,7155.324722160889,28975.48746239052
88,2008-03-25,2592,eur,2020-03-25,5482,3.528,4.5779,4.3463,9144.576000000001,1197.4922999628652,1394.5077000371348,6060.948816671399
89,2008-07-23,2887,chf,2021-07-01,7248,2.0014,4.1167,4.5849,5778.0418,1760.633517137513,1126.366482862487,5164.277687276216
90,2006-12-22,1253,gbp,2017-05-25,8462,5.6832,4.8238,5.084,7121.0496,1754.2186657821633,-501.21866578216327,-2548.195696836518
91,2004-06-14,3614,eur,2019-08-27,6526,4.5571,4.3684,4.3463,16469.3594,1493.9108140280193,2120.0891859719804,9214.543628990019
92,2009-04-24,1623,eur,2013-05-23,3257,4.4763,4.202,4.3463,7265.034900000001,775.1070918610186,847.8929081389814,3685.1969466444552
93,2002-12-12,8366,eur,2021-10-19,2644,3.9647,4.5717,4.3463,33168.6802,578.3406610232518,7787.659338976749,33847.503784994646
94,2007-11-29,7370,eur,2020-01-15,4699,3.6445,4.2279,4.3463,26859.965,1111.4264765013363,6258.573523498664,27201.638105182246
95,2004-03-23,7201,gbp,2018-07-16,7930,7.0378,4.8811,5.084,50679.1978,1624.6337915633771,5576.366208436622,28350.245803691785
96,2008-02-29,9060,usd,2022-12-13,1829,2.3155,4.4527,4.0495,20978.43,410.76200956722886,8649.237990432772,35025.08924225751
97,2003-05-06,5176,eur,2021-04-09,3539,4.2613,4.5414,4.3463,22056.488800000003,779.2751134011538,4396.724886598846,19109.485374624564
98,2002-05-20,8853,eur,2013-10-03,7447,3.7766,4.2105,4.3463,33434.2398,1768.673554209714,7084.326445790286,30790.60803133832
99,2004-07-06,3444,eur,2022-04-07,2150,4.5283,4.6478,4.3463,15595.465199999999,462.5844485563062,2981.415551443694,12958.126411239728
100,2010-11-17,7534,eur,2021-04-26,4048,3.951,4.5565,4.3463,29766.834,888.4011851201581,6645.598814879842,28883.76612911226
101,2010-04-08,2885,eur,2014-12-24,4978,3.8526,4.306,4.3463,11114.751,1156.0613098002787,1728.9386901997213,7514.486229215049
102,2002-10-16,6459,gbp,2019-04-23,6246,6.4222,4.9522,5.084,41480.9898,1261.2576228746818,5197.742377125318,26425.322245305113
103,2006-11-20,4974,gbp,2015-05-29,1715,5.6278,5.759,5.084,27992.6772,297.7947560340337,4676.2052439659665,23773.827460322973
104,2008-04-11,7676,eur,2016-09-05,5044,3.42,4.348,4.3463,26251.92,1160.0735970561177,6515.926402943882,28320.170925114995
105,2002-08-20,1472,usd,2023-07-25,5767,4.1502,4.008,4.0495,6109.0944,1438.8722554890219,33.12774451097812,134.1508013972059
106,2007-11-06,1490,chf,2021-03-03,8523,2.1811,4.0981,4.5849,3249.839,2079.7442717356826,-589.7442717356826,-2703.918511480931
107,2011-05-06,8827,eur,2019-10-30,1628,3.96,4.2655,4.3463,34954.92,381.666862032587,8445.333137967413,36705.95141754777
108,2004-04-29,4644,eur,2020-05-04,1543,4.7981,4.5582,4.3463,22282.376399999997,338.5108156728533,4305.489184327147,18712.94764184108
109,2012-03-19,7278,eur,2020-09-30,5200,4.127,4.5268,4.3463,30036.305999999997,1148.7143235839887,6129.2856764160115,26639.714335406912
110,2007-12-20,7299,eur,2020-11-03,4821,3.623,4.5699,4.3463,26444.277000000002,1054.9464977351802,6244.05350226482,27138.52973689359
111,2006-09-04,2915,eur,2015-01-26,8872,3.967,4.2293,4.3463,11563.805,2097.7466720261036,817.2533279738964,3552.028139372946
112,2005-02-18,4450,chf,2023-10-30,8435,2.5812,4.6546,4.5849,11486.34,1812.1857946977182,2637.814205302282,12094.114349890433
113,2012-10-29,6759,eur,2022-09-19,9224,4.1472,4.7142,4.3463,28030.924799999997,1956.6416359085317,4802.3583640914685,20872.490157850752
114,2012-07-16,2788,eur,2019-06-25,1953,4.1939,4.2554,4.3463,11692.593200000001,458.94628002067964,2329.0537199793202,10122.766183146121
115,2005-06-13,7377,usd,2020-12-31,2553,3.3455,3.7584,4.0495,24679.7535,679.2784163473818,6697.721583652618,27122.423553001277
116,2002-05-09,7130,eur,2014-09-26,5349,3.6363,4.1781,4.3463,25926.819,1280.2470022258922,5849.752997774108,25424.781454225606
117,2002-10-11,9491,eur,2016-04-13,7615,4.0685,4.2827,4.3463,38614.1335,1778.083919023046,7712.916080976954,33522.64716275014
118,2009-10-22,5089,eur,2017-08-02,2241,4.1956,4.2515,4.3463,21351.4084,527.1080795013524,4561.891920498648,19827.350854063276
119,2007-01-23,5603,eur,2017-09-13,5032,3.863,4.2677,4.3463,21644.389,1179.0894392764253,4423.910560723574,19227.64247007287
120,2002-09-20,4274,chf,2020-05-12,5884,2.7721,4.3316,4.5849,11847.9554,1358.389509650014,2915.6104903499863,13367.782537205652
121,2005-02-28,4510,eur,2023-09-20,4718,3.9119,4.6529,4.3463,17642.669,1013.9912742590643,3496.008725740936,15194.702724687832
122,2005-07-28,6990,eur,2023-07-14,5227,4.0852,4.4486,4.3463,28555.548000000003,1174.9763970687407,5815.023602931259,25273.837085420135
123,2012-06-26,3056,eur,2021-06-17,1770,4.258,4.5309,4.3463,13012.448,390.6508640667417,2665.3491359332584,11584.406949506722
124,2005-02-04,8984,usd,2020-08-24,6959,3.0739,3.7273,4.0495,27615.9176,1867.035119255225,7116.964880744775,28820.149284575968
125,2008-11-19,8809,eur,2018-05-30,7418,3.8444,4.3195,4.3463,33865.319599999995,1717.3283944901032,7091.671605509897,30822.532299027665
126,2002-09-10,5341,gbp,2014-09-16,7840,6.4557,5.2423,5.084,34479.8937,1495.526772599813,3845.473227400187,19550.38588810255
127,2007-03-16,6149,gbp,2019-12-05,9025,5.7083,5.0651,5.084,35100.3367,1781.8009516100371,4367.199048389963,22202.83996201457
128,2006-06-14,1303,gbp,2015-12-09,2667,5.881,5.9749,5.084,7662.943,446.3673032184639,856.6326967815361,4355.120630437329
129,2005-02-21,7642,chf,2019-07-08,4116,2.5778,3.8194,4.5849,19699.547599999998,1077.6561763627794,6564.34382363722,30096.85999699429
130,2009-01-27,3996,usd,2023-01-02,3549,3.2549,4.3811,4.0495,13006.5804,810.0705302321335,3185.9294697678665,12901.421387824976
131,2006-07-17,6586,gbp,2018-09-21,9800,5.867,4.8116,5.084,38640.062,2036.74453404273,4549.25546595727,23128.41478892676
132,2004-03-22,7937,usd,2023-03-14,6267,3.8433,4.3793,4.0495,30504.272100000002,1431.0506245290344,6505.949375470966,26345.841995969677
133,2005-08-03,7535,gbp,2019-05-29,6223,5.9136,4.8744,5.084,44558.975999999995,1276.6699491219433,6258.330050878057,31817.34997866404
134,2010-12-10,9785,chf,2021-12-10,6560,3.1074,4.4259,4.5849,30405.909000000003,1482.1844144693732,8302.815585530627,38067.579178099375
135,2002-02-28,2465,eur,2016-02-29,7189,3.641,4.3589,4.3463,8975.065,1649.269311064718,815.7306889352819,3545.4102933194163
136,2002-08-16,4196,gbp,2017-11-14,1276,6.4107,4.7317,5.084,26899.2972,269.6705201090517,3926.3294798909483,19961.45907576558
137,2007-09-10,7155,gbp,2023-05-24,5114,5.6034,5.164,5.084,40092.327,990.3175832687839,6164.682416731216,31341.2454066615
138,2002-03-19,9821,usd,2019-10-22,5822,4.1067,3.8408,4.0495,40331.9007,1515.8300354092896,8305.16996459071,33631.785771610084
139,2007-10-31,9296,eur,2020-05-29,9718,3.6306,4.4503,4.3463,33750.0576,2183.6730108082597,7112.326989191741,30912.306793124066
140,2003-12-16,5361,usd,2014-07-11,3905,3.7532,3.0426,4.0495,20120.9052,1283.4417932031813,4077.558206796819,16512.07195842372
141,2011-11-24,7018,usd,2015-07-03,5009,3.3486,3.7726,4.0495,23500.4748,1327.7315379314,5690.2684620686,23042.742137146794
142,2002-09-19,4610,eur,2022-10-12,3394,4.0544,4.8536,4.3463,18690.784,699.2747651227954,3910.7252348772045,16997.185088346796
143,2011-05-26,2616,chf,2018-02-05,6581,3.2195,3.5882,4.5849,8422.212,1834.0672203333147,781.9327796666853,3585.0836014937854
144,2008-10-23,9516,usd,2019-01-08,5578,2.9788,3.7559,4.0495,28346.2608,1485.1300620357304,8030.869937964269,32521.00781378631
145,2002-03-14,9146,gbp,2020-06-24,5098,5.8771,4.9256,5.084,53751.956600000005,1035.000812083807,8110.9991879161935,41236.31987136592
146,2003-05-27,9777,usd,2013-02-06,9764,3.6709,3.0868,4.0495,35890.3893,3163.1463003757935,6613.8536996242065,26782.800556628226
147,2005-05-18,1537,gbp,2018-03-30,6846,6.1079,4.7974,5.084,9387.8423,1427.022970775837,109.97702922416306,559.123216575645
148,2009-01-27,6023,chf,2016-12-29,8055,2.8697,4.119,4.5849,17284.2031,1955.5717407137656,4067.4282592862346,18648.75182600146
149,2009-01-13,9121,chf,2017-10-17,7268,2.7918,3.6796,4.5849,25464.0078,1975.214697249701,7145.785302750299,32762.711034579846
150,2003-07-10,4703,usd,2020-08-25,8667,3.9311,3.7144,4.0495,18487.9633,2333.351281499031,2369.648718500969,9595.892485569675
151,2002-01-02,4852,chf,2013-08-29,7238,2.3915,3.4799,4.5849,11603.558,2079.944826000747,2772.055173999253,12709.595767269175
152,2008-07-15,9492,eur,2016-02-17,1034,3.2602,4.3905,4.3463,30945.818400000004,235.50848422730894,9256.491515772692,40231.48907500285
153,2006-08-28,2985,usd,2022-02-16,8471,3.0691,3.9478,4.0495,9161.263500000001,2145.7520644409547,839.2479355590453,3398.534515046354
154,2004-08-09,9185,usd,2020-08-11,5293,3.5666,3.739,4.0495,32759.221,1415.6191495052153,7769.380850494785,31462.107754078632
155,2008-03-04,3796,eur,2018-05-14,8458,3.5221,4.2615,4.3463,13369.8916,1984.7471547577145,1811.2528452422855,7872.248241276546
156,2002-10-14,1061,gbp,2022-05-27,7983,6.4314,5.4209,5.084,6823.7154,1472.6336955118154,-411.6336955118154,-2092.7457079820692
157,2004-12-08,9770,gbp,2016-05-25,1710,6.067,5.8139,5.084,59274.590000000004,294.1227059288945,9475.877294071106,48175.3601630575
158,2009-08-19,8243,chf,2013-07-17,7728,2.7512,3.4492,4.5849,22678.1416,2240.519540763076,6002.480459236924,27520.77265755537
159,2006-11-16,5094,usd,2016-08-05,4000,2.9682,3.8542,4.0495,15120.0108,1037.8288620206529,4056.171137979347,16425.465023247365
160,2010-01-15,8283,chf,2018-12-28,6951,2.7314,3.8115,4.5849,22624.1862,1823.6914600550963,6459.308539944904,29615.28372479339
161,2012-08-30,4500,eur,2023-03-07,8787,4.1919,4.6871,4.3463,18863.550000000003,1874.7199761046277,2625.2800238953723,11410.254567856457
162,2008-04-02,2235,usd,2012-12-24,6534,2.235,3.08,4.0495,4995.224999999999,2121.4285714285716,113.57142857142844,459.90749999999946
163,2011-11-17,4540,gbp,2013-12-10,1477,5.1918,4.9996,5.084,23570.771999999997,295.42363389071124,4244.576366109289,21579.426245299623
164,2012-09-13,4376,usd,2023-10-17,7840,3.1852,4.2131,4.0495,13938.4352,1860.8625477676771,2515.137452232323,10185.049112814793
165,2008-02-11,1457,gbp,2014-06-09,2121,4.8532,5.0549,5.084,7071.1124,419.5928702842786,1037.4071297157213,5274.177847474727
166,2004-08-31,8479,gbp,2017-11-15,9578,6.6089,4.7148,5.084,56036.8631,2031.4753542037836,6447.524645796217,32779.215299227966
167,2008-05-14,6156,usd,2021-12-29,4385,2.201,4.0779,4.0495,13549.356,1075.3083695039115,5080.691630496089,20574.26075769391
168,2007-07-05,7006,chf,2016-05-06,4271,2.2759,4.0047,4.5849,15944.9554,1066.4968661822359,5939.503133817764,27232.027918241067
169,2012-11-23,4398,usd,2019-12-04,4351,3.1945,3.8647,4.0495,14049.411,1125.8312417522704,3272.16875824773,13250.647386524182
170,2007-06-22,9435,eur,2013-11-21,7935,3.7865,4.1933,4.3463,35725.6275,1892.3043903369662,7542.695609663034,32782.81792827845
171,2009-10-13,9419,chf,2013-01-14,7025,2.7838,3.3674,4.5849,26220.6122,2086.1792480845756,7332.820751915424,33620.24986545703
172,2003-11-14,8751,usd,2018-06-26,7705,3.8817,3.7151,4.0495,33968.7567,2073.968399235552,6677.031600764448,27038.639467295634
173,2003-11-27,1729,chf,2013-12-31,5465,3.0141,3.3816,4.5849,5211.3789,1616.0988881003075,112.90111189969252,517.6403079489003
174,2011-11-22,4515,gbp,2014-12-04,1886,5.1375,5.2871,5.084,23195.8125,356.7172930339884,4158.282706966012,21140.7092822152
175,2011-03-25,1060,chf,2012-12-24,2203,3.1073,3.3705,4.5849,3293.738,653.6122237056817,406.3877762943183,1863.24731553182
176,2004-04-06,8017,usd,2020-02-25,3084,3.9241,3.9624,4.0495,31459.509700000002,778.3161720169594,7238.683827983041,29313.050161417326
177,2006-06-08,6924,gbp,2021-07-12,7883,5.7277,5.3192,5.084,39658.5948,1481.98977289818,5442.01022710182,27667.179994585655
178,2004-01-29,5162,chf,2020-08-17,6659,3.0341,4.0828,4.5849,15662.0242,1630.9885372783385,3531.0114627216617,16189.334455432547
179,2012-04-05,7212,gbp,2020-04-28,7263,5.0271,5.2168,5.084,36255.4452,1392.2327863824567,5819.767213617543,29587.696514031588
180,2002-11-28,5915,eur,2021-03-26,4927,3.9578,4.6353,4.3463,23410.387000000002,1062.930123185123,4852.069876814877,21088.5513056005
181,2005-04-13,9006,usd,2018-03-05,1977,3.1494,3.3995,4.0495,28363.4964,581.5561111928224,8424.443888807178,34114.78552772467
182,2009-05-28,8415,usd,2019-07-08,4092,3.2418,3.7857,4.0495,27279.747,1080.9097392820352,7334.090260717965,29699.3985107774
183,2009-09-30,4373,chf,2013-08-01,4004,2.7976,3.4372,4.5849,12233.9048,1164.9016641452345,3208.0983358547655,14708.810060060516
184,2005-03-04,3496,eur,2022-11-28,2420,3.9278,4.6835,4.3463,13731.5888,516.7075904772072,2979.2924095227927,12948.898599508915
185,2008-04-25,4192,usd,2018-03-19,6319,2.2044,3.4341,4.0495,9240.8448,1840.074546460499,2351.925453539501,9524.12212410821
186,2009-12-18,5641,eur,2013-03-13,4760,4.1806,4.1484,4.3463,23582.764600000002,1147.4303345868288,4493.569665413172,19530.40183678527
187,2012-11-30,3739,eur,2023-04-21,8307,4.1064,4.6039,4.3463,15353.8296,1804.3397988661786,1934.6602011338214,8408.613632187928
188,2005-07-01,5610,usd,2021-07-07,1458,3.3441,3.8225,4.0495,18760.401,381.4257684761282,5228.574231523872,21173.111350555922
189,2007-01-26,6665,gbp,2015-05-08,6016,5.9546,5.588,5.084,39687.409,1076.5926986399427,5588.407301360057,28411.46272011453
190,2012-04-23,3127,eur,2014-08-08,1512,4.2033,4.2184,4.3463,13143.719099999998,358.4297363929452,2768.5702636070546,12033.036936715342
191,2006-11-17,5435,gbp,2023-11-10,6519,5.6108,5.0609,5.084,30494.698,1288.1108103301783,4146.8891896698215,21082.78464028137
192,2003-10-02,3708,gbp,2021-08-20,3977,6.5077,5.3536,5.084,24130.5516,742.8646144650329,2965.135385534967,15074.748300059771
193,2006-12-04,5629,chf,2016-11-29,9513,2.3927,4.1235,4.5849,13468.5083,2307.020734812659,3321.979265187341,15230.94273295744
194,2004-05-27,4146,chf,2023-03-09,9044,3.0266,4.7319,4.5849,12548.2836,1911.2829941461146,2234.7170058538854,10245.95400013948
